x,"y_(ЛЗМ5,5м_Em650.txt)","y_(ЛЗМ5,5м_Ex660.txt)","y_(ЛЗМ5,5м_Em430.txt)","y_(ЛЗМ5,5м_Em425.txt)","y_(ЛЗМ5,5м_Em370.txt)","y_(ЛЗМ5,5м_Em405.txt)","y_(ЛЗМ5,5м_Em605.txt)","y_(ЛЗМ5,5м_Em460.txt)"
350,,"32,533646",,,,,,
351,,"33,262470",,,,,,
352,,"33,919492",,,,,,
353,,"34,501652",,,,,,
354,,"35,028200",,,,,,
355,,"35,565909",,,,,,
356,,"35,866940",,,,,,
357,,"36,050108",,,,,,
358,,"36,346974",,,,,,
359,,"36,693710",,,,,,
360,,"37,228278",,,,,,
361,,"37,764379",,,,,,
362,,"38,532802",,,,,,
363,,"39,884853",,,,,,
364,,"41,220213",,,,,,
365,,"42,280874",,,,,,
366,,"43,454592",,,,,,
367,,"44,427814",,,,,,
368,,"45,124406",,,,,,
369,,"45,566198",,,,,,
370,,"45,746949",,,,,,
371,,"45,641754",,,,,,
372,,"45,288789",,,,,,
373,,"44,855787",,,,,,
374,,"44,227669",,,,,,
375,,"43,652680",,,,,,
376,,"43,426167",,,,,,
377,,"43,372778",,,,,,
378,,"43,207898",,,,,,
379,,"43,286230",,,,,,
380,,"43,472602",,,,,,
381,,"43,410290",,,,,,
382,,"43,129081",,,,,,
383,,"42,957235",,,,,,
384,,"42,852054",,,,,,
385,,"42,451335",,,"0,270869",,,
386,,"42,160780",,,"0,261729",,,
387,,"42,027097",,,"0,256359",,,
388,,"41,797786",,,"0,260360",,,
389,,"41,485491",,,"0,264214",,,
390,,"41,289697",,,"0,264877",,,
391,,"41,381708",,,"0,264437",,,
392,,"41,513245",,,"0,266682",,,
393,,"41,755023",,,"0,272574",,,
394,,"42,299193",,,"0,277028",,,
395,,"43,236261",,,"0,281855",,,
396,,"44,287205",,,"0,287264",,,
397,,"45,071893",,,"0,290728",,,
398,,"45,749031",,,"0,292372",,,
399,,"46,352950",,,"0,295655",,,
400,,"47,232067",,,"0,295302",,,
401,,"47,875225",,,"0,296279",,,
402,,"48,008501",,,"0,299067",,,
403,,"48,301706",,,"0,301480",,,
404,,"48,520895",,,"0,307318",,,
405,,"48,683594",,,"0,312146",,,
406,,"48,664594",,,"0,318156",,,
407,,"48,505992",,,"0,325886",,,
408,,"48,397995",,,"0,334253",,,
409,,"48,333753",,,"0,341402",,,
410,,"48,053555",,,"0,350663",,,
411,,"47,494391",,,"0,360084",,,
412,,"46,979148",,,"0,370074",,,
413,,"46,446600",,,"0,383248",,,
414,,"45,918010",,,"0,394141",,,
415,,"45,285383",,,"0,400116",,,
416,,"44,361853",,,"0,403229",,,
417,,"43,464290",,,"0,407809",,,
418,,"42,678301",,,"0,412420",,,
419,,"41,607487",,,"0,413587",,,
420,,"40,436707",,,"0,414753",,,
421,,"39,492147",,,"0,414571",,,
422,,"38,864909",,,"0,410867",,,
423,,"38,757388",,,"0,408115",,,
424,,"38,799849",,,"0,409663",,,
425,,"39,031241",,,"0,412012",,,
426,,"39,469529",,,"0,412741",,,
427,,"39,638186",,,"0,420235",,,
428,,"39,803387",,,"0,428755",,,
429,,"39,776432",,,"0,434467",,,
430,,"39,180830",,,"0,444858",,,
431,,"38,004790",,,"0,456120",,,
432,,"36,406080",,,"0,467148",,,
433,,"34,722832",,,"0,477489",,,
434,,"32,993698",,,"0,490053",,,
435,,"31,077125",,,"0,503807",,,
436,,"29,091804",,,"0,514299",,,
437,,"27,158238",,,"0,523645",,,
438,,"25,308645",,,"0,532007",,,
439,,"23,624202",,,"0,543647",,,
440,,"22,226669",,,"0,553839",,,
441,,"21,044067",,,"0,559948",,,
442,,"20,026490",,,"0,567272",,,
443,,"19,102448",,,"0,575210",,,
444,,"18,199969",,,"0,581867",,,
445,,"17,477938",,,"0,589398",,,
446,,"17,005328",,,"0,590894",,,
447,,"16,538309",,,"0,590756",,,
448,,"16,104578",,,"0,594272",,,
449,,"15,818644",,,"0,599656",,,
450,,"15,540525","0,192018",,"0,604290",,,
451,,"15,322788","0,190856",,"0,602181",,,
452,,"14,958212","0,191992",,"0,603009",,,
453,,"14,572069","0,193141",,"0,608554",,,
454,,"14,295647","0,194067",,"0,609771",,,
455,,"13,893756","0,195852",,"0,604555",,,
456,,"13,558296","0,197116",,"0,597259",,,
457,,"13,354257","0,199222",,"0,592387",,,
458,,"13,260712","0,201048",,"0,589042",,,
459,,"13,193885","0,204721",,"0,584428",,,
460,,"13,127244","0,208853",,"0,577218",,,
461,,"13,110983","0,211983",,"0,570528",,,
462,,"13,054589","0,217344",,"0,564448",,,
463,,"12,922951","0,220256",,"0,559900",,,
464,,"12,733370","0,220770",,"0,562878",,,
465,,"12,589296","0,224425",,"0,566149",,,
466,,"12,395423","0,230343",,"0,566410",,,
467,,"12,206853","0,236473",,"0,565405",,,
468,,"12,041828","0,240601",,"0,563582",,,
469,,"11,776303","0,245279",,"0,562208",,,
470,,"11,487110","0,252278",,"0,562349",,,
471,,"11,155921","0,260574",,"0,564819",,,
472,,"10,873832","0,270981",,"0,565620",,,
473,,"10,560500","0,278234",,"0,564417",,,
474,,"10,134389","0,282854",,"0,563975",,,
475,,"9,765428","0,288947",,"0,566322",,,
476,,"9,477273","0,296994",,"0,567930",,,
477,,"9,046776","0,305488",,"0,569952",,,
478,,"8,534314","0,313549",,"0,579836",,,
479,,"8,140316","0,321733",,"0,587572",,,
480,,"7,793646","0,328274",,"0,583321",,,
481,,"7,407713","0,332604",,"0,581543",,,
482,,"7,037759","0,339939",,"0,586698",,,
483,,"6,820616","0,348421",,"0,592287",,,
484,,"6,624058","0,355809",,"0,594119",,,
485,,"6,384104","0,364548",,"0,592023",,,
486,,"6,178624","0,371172",,"0,588533",,,
487,,"5,961156","0,378462",,"0,588555",,,
488,,"5,804162","0,390178",,"0,592310",,,
489,,"5,677936","0,399920",,"0,591070",,,
490,,"5,553901","0,408453",,"0,587775",,,
491,,"5,423069","0,413535",,"0,585212",,,
492,,"5,347607","0,416067",,"0,585150",,,
493,,"5,276439","0,423267",,"0,585458",,,
494,,"5,147929","0,432061",,"0,582870",,,
495,,"5,102013","0,435845",,"0,578800",,,
496,,"5,083364","0,433007",,"0,577649",,,
497,,"5,026677","0,434219",,"0,578405",,,
498,,"5,003516","0,439819",,"0,574533",,,
499,,"5,027597","0,441286",,"0,574186",,,
500,,"4,991370","0,440111",,"0,573665",,,
501,,"4,918885","0,441284",,"0,566403",,,
502,,"4,855040","0,444236",,"0,560737",,,
